,classiferErr,IPErr,All_Errs,Which Code,err_code,sub_code,paper_type,status,err_img,remark,error_msg,Final_Err_msg,Qualifiers,Reason,
10x for Succes,,All_Good,All_Good,Both,100,0,both,success,NA,Success,,ERR_10000_All_Good,"BlurBool, prefer Better Contrast,goCloser",Success,SUCCESS
,,AllGood_WidthEstimatedTo_38P,AllGood_WidthEstimatedTo_38P,Both,101,2,both,success,NA,Success with width estimation,Width Estimated to be a normal foot,ERR_10102_AllGood_WidthEstimatedTo_38P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
,,AllGood_WidthEstimatedTo_44P,AllGood_WidthEstimatedTo_44P,DP,102,2,double,success,NA,Success with width estimation,Width Estimated to be a wider foot,ERR_10202_AllGood_WidthEstimatedTo_44P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
,,AllGood_WidthEstimatedTo_48P,AllGood_WidthEstimatedTo_48P,SP,103,2,single,success,NA,Success with width estimation,Width Estimated to be a wider child  foot,ERR_10302_AllGood_WidthEstimatedTo_48P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
,,AllGood_WidthEstimatedTo_34P,AllGood_WidthEstimatedTo_34P,Both,104,2,both,success,NA,Success with width estimation,Width Estimated to be a narrower foot,ERR_10402_AllGood_WidthEstimatedTo_34P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
111-140 is paper Errs,NO_PPR_FOUND,,NO_PPR_FOUND,Both,111,1,both,error,ERROR9,No Paper found :( ,"Sorry, but we need a  paper to measure your foot! Please retake using a clean standard paper on a slightly darker floor. ",ERR_11101_NO_PPR_FOUND,,No Paper found :(,PPR ERRS
,SPP_FIPO_DPL,,SPP_FIPO_DPL,DP,112,1,double,error,ERROR14,Papers not arranged right,We expected two horizontal papers but you seem to have one vertical paper . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11201_SPP_FIPO_DPL,,Paper not correct,
,DPL_FIPO_SPP,,DPL_FIPO_SPP,SP,113,1,single,error,ERROR13,Papers not arranged right,We expected one vertical paper & you have two horizontal papers . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11301_DPL_FIPO_SPP,,Paper not correct,
,DP_PORTRAIT,,DP_PORTRAIT,Both,114,1,both,error,ERROR14,Papers not arranged right,We expected two horizontal papers but you seem to have two vertical papers . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11401_DP_PORTRAIT,,Paper not kept right,
,SPL_FIPO_SPP,,SPL_FIPO_SPP,SP,115,1,single,error,ERROR13,Papers not arranged right,We expected one vertical paper & you have one horizontal paper . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11501_SPL_FIPO_SPP,,Paper not kept right,
,SPL_FIPO_DPL,,SPL_FIPO_DPL,DP,116,1,double,error,ERROR14,Papers not arranged right,We expected two horizontal papers but you seem to have one horizontal paper . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11601_SPL_FIPO_DPL,,Paper not kept right,
,,TL_Outside_Img,TL_Outside_Img,SP,117,1,single,error,ERROR10,Top Left corner of paper not found,Oops! top left corner of the paper seems to be out of the picture. Please retake the picture with paper roughly aligned with green rectangle.,ERR_11701_TL_Outside_Img,,TL Corner outside Image,
,,TR_Outside_Img,TR_Outside_Img,SP,118,1,single,error,ERROR10,Top Right corner of paper not found,Oops! top Rightcorner of the paper seems to be out of the picture. Please retake the picture with paper roughly aligned with green rectangle.,ERR_11801_TR_Outside_Img,,TR Corner outside Image,
,,TL_Corner_Bad,TL_Corner_Bad,SP,119,1,single,error,ERROR10,Top Left corner of paper not found,"Oops! top left corner of the paper seems folded or torn. Please retake with a fresh white paper with crisp corner corners. If you are taking the picture on a carpet, please take the picture on hard floor.",ERR_11901_TL_Corner_Bad,,TL Corner Folded/Torn/ or NonStandardPaper,
,,TR_Corner_Bad,TR_Corner_Bad,SP,120,1,single,error,ERROR10,Top Right corner of paper not found,"Oops! top right corner of the paper seems folded or torn. Please retake with a fresh white paper with crisp corner corners. If you are taking the picture on a carpet, please take the picture on hard floor.",ERR_12001_TR_Corner_Bad,,TR Corner Folded/Torn/ or NonStandardPaper,
,,Both_Corners_Bad,Both_Corners_Bad,SP,121,1,single,error,ERROR10,"Top Left, Right corners of paper not found","Oops! top corners of the paper seems folded or torn. Please retake with a fresh white paper with crisp corner corners. If you are taking the picture on a carpet, please take the picture on hard floor.",ERR_12101_Both_Corners_Bad,,Both Corners Folded/Torn/ NonStandard Paper,
,,TL_LowContrast,TL_LowContrast,SP,122,1,single,error,ERROR10,Top Left corner of paper not found,"Oops, top left corner of the paper has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_12201_TL_LowContrast,,TL Corner has low Contrast,
,,TR_LowContrast,TR_LowContrast,SP,123,1,single,error,ERROR10,Top Right corner of paper not found,"Oops, top right corner of the paper has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_12301_TR_LowContrast,,TR Corner has low Contrast,
,,Both_LowContrast,Both_LowContrast,SP,124,1,single,error,ERROR10,"Top Left, Right corners of paper not found","Oops, Top corners of the paper has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_12401_Both_LowContrast,,Both Corners have low Contrast,
,,DP_Pprs_Outside_Img,DP_Pprs_Outside_Img,DP,125,1,double,error,ERROR10,Top or bottom paper edges are outside the image,Oops! We are unable to see all corners of top & bottom papers. Please retake the picture as per the instruction.,ERR_12501_DP_Pprs_Outside_Img,,One of the Papers outside Image,
,,DP_Ppr_Fail_Unclear_Reason,DP_Ppr_Fail_Unclear_Reason,DP,126,1,double,error,ERROR10,Top or Bottom paper detection failed,Oops! We are unable to detect the papers. Please retake the pictures with 2 papers in landscape (horizontal position) with your foot. ,ERR_12601_DP_Ppr_Fail_Unclear_Reason,,Unexpected  Paper Configuration,
,,DP_BTR_Not_Good,DP_BTR_Not_Good,DP,127,1,double,error,ERROR10,Top Right corner of bottom paper not found,"Oops, top right corner of the bottom paper seems folded or has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_12701_DP_BTR_Not_Good,,Btm Paper Top Right Low contrast/Torn/Non Standard Paper,
,,DP_BTL_Not_Good,DP_BTL_Not_Good,DP,128,1,double,error,ERROR10,Top Left corner of bottom paper not found,"Oops, top left corner of the bottom paper seems folded or has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_12801_DP_BTL_Not_Good,,Btm Paper Top Left  Low contrast/Torn/Non Standard Paper,
,,DP_Both_BTXs_Not_Good,DP_Both_BTXs_Not_Good,DP,129,1,double,error,ERROR10,"Top Right,Left corner of bottom paper not found","Oops, top  corners of the bottom paper seems folded or has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_12901_DP_Both_BTXs_Not_Good,,Btm Paper Both Sides  Low contrast/Torn/Non Standard Paper,
,,DP_Homography_Fail,DP_Homography_Fail,DP,130,1,double,error,ERROR10,One of the paper corners (both top & bottom) not found,Oops! top  corners of the bottom paper seems folded or has a low contrast background. Please retake with a fresh paper in a contrasting floor,ERR_13001_DP_Homography_Fail,,Btm Paper Btm Corners Fail,
,,BL_Bad,BL_Bad,Both,131,1,both,error,ERROR10,Bottom left corner of the (bottom) paper not found,"Oops, bottom left corner of the (bottom) paper seems folded, torn or has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_13101_BL_Bad,,Btm_Paper Left Edge Hidden by pant / low contrast,
,,BR_Bad,BR_Bad,Both,132,1,both,error,ERROR10,Bottom right  corner of the (bottom) paper not found,"Oops, bottom right corner of the (bottom) paper seems folded, torn or has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_13201_BR_Bad,,Btm_Paper Right Edge Hidden by pant / low contrast,
,,BL_And_BR_Bad,BL_And_BR_Bad,Both,133,1,both,error,ERROR10,"Bottom left, right  corners of the (bottom) paper not found","Oops, bottom  corners of the (bottom) paper seems folded, torn or has a low contrast background. Please retake with a fresh paper in a contrasting floor",ERR_13301_BL_And_BR_Bad,,Btm_Paper Left and  Right Edge Hidden by pant / low contrast,
140  to160x for foot,NO_FOOT,,NO_FOOT,Both,140,1,both,error,ERROR16,Your foot is not in the picture ,"We cant measure, if we dont see your foot. Please keep the foot on the paper center & retake.",ERR_14001_NO_FOOT,,Your foot is not in the picture,FTR POINT ERRS
,FOOTWEAR,,FOOTWEAR,Both,141,1,both,error,ERROR16,You seem to be wearing a shoe,Please keep your bare foot on the paper & retake!,ERR_14101_FOOTWEAR,,You seem to be wearing a shoe,
,BOTH_FEET,,BOTH_FEET,Both,142,1,both,error,ERROR16,Both feet in the picture,We see both your feet. Please use right or left foot as appropriate.,ERR_14201_BOTH_FEET,,,
,SOCKS,,SOCKS,Both,143,1,both,error,ERROR16,You seem  have your socks on! ,Please keep your bare foot on the paper & retake!,ERR_14301_SOCKS,,You seem  have your socks on!,
,LF_FIPO_RF,,LF_FIPO_RF,Both,144,1,both,error,ERROR16,Please retake with right foot ,"We get the confusion, we are currently trying to measure your right  foot. Please retake with your right foot",ERR_14401_LF_FIPO_RF,,Wrong Foot,
,RF_FIPO_LF,,RF_FIPO_LF,Both,145,1,both,error,ERROR16,Please retake with left foot ,"We get the confusion, we are currently trying to measure your left  foot. Please retake with your left  foot",ERR_14501_RF_FIPO_LF,,Wrong Foot,
,,TP_Bad,TP_Bad,Both,146,1,both,error,ERROR11,We couldnt see your toes clearly ,"Oops,the photo didnt focus well. Please retake in a well lit place with camera  directly above the foot",ERR_14601_TP_Bad,,We couldn't see your toes clearly,
,,TP2_Bad,TP2_Bad,Both,147,1,both,error,ERROR11,We couldnt see your toes clearly ,"Oops,the photo didnt focus well. Please retake in a well lit place with camera  directly above the foot",ERR_14701_TP2_Bad,,We couldn't see your toes clearly,
,,LBP_Bad,LBP_Bad,Both,148,1,both,error,ERROR05,We couldnt see your left foot edge ,"Oops, the photo is a little blurry. Please retake in a well lit place. ",ERR_14801_LBP_Bad,,We couldn't see your left foot edge,
,,RBP_Bad,RBP_Bad,Both,149,1,both,error,ERROR05,We couldnt see your right foot edge ,"Oops, the photo is a little blurry. Please retake in a well lit place. ",ERR_14901_RBP_Bad,,We couldn't see your right foot edge,
160+ for Image Quality/ User Mistakes,,Landscape_Image,Landscape_Image,Both,160,1,both,error,ERROR05,Picture taken in Landscape mode,"Sorry, we dont like photos in landscape mode.  Please retake holding the phone in the portrait mode",ERR_16001_Landscape_Image,,Picture taken in Landscape mode,USABILITY
,,Paper_Not_Vertical,Paper_Not_Vertical,SP,161,1,single,error,ERROR13,Papers not arranged right,We expected one  paper aligned vertical to the wall . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_16101_Paper_Not_Vertical,,Paper Not Vertical in Image,
,,Camera_Too_Far,Camera_Too_Far,Both,162,1,both,error,ERROR6,Please retake closer to foot,Camera is far from the foot. You loose measurement accuracy. Please retake keeping phone at hip or thigh height.,ERR_16201_Camera_Too_Far,,CameraTooFar,
,,Blurred_Image,Blurred_Image,Both,163,1,both,error,ERROR6,Picture is blurry,"Oops, the photo is a little blurry. Please retake in a well lit place. ",ERR_16301_Blurred_Image,,Blurred Image,
,,Foot_Too_Rotated,Foot_Too_Rotated,Both,164,1,both,error,ERROR16,Foot rotated in the picture,Please keep your bare foot vertical. Rotating the foot will reduce the accuracy of the app.,ERR_16401_Foot_Too_Rotated,,Foot  Too Rotated,
,,TP_Above_Paper,TP_Above_Paper,SP,165,1,single,error,ERROR11,Toes are outside the paper,Please align your foot to the wall and retake the picture,ERR_16501_TP_Above_Paper,,TP above Paper top Edge,
,,TP_High_In_Top_Paper,TP_High_In_Top_Paper,DP,166,1,double,error,ERROR11,Foot not touching the wall,Please align your foot to the wall and retake the picture,ERR_16601_TP_High_In_Top_Paper,,Foot not touching the Wall,
,,PAW_Error,PAW_Error,Both,167,1,both,error,ERROR12,Paper away from wall,Please align the paper to the wall as per the instruction and retake the picture,ERR_16701_PAW_Error,,Paper Away From Wall,
